stage,spectrum_count,description
all_parent_spectra,945,All raw parent spectra before review-ready filtering.
rruff_parent_spectra,791,Visible/NIR Raman spectra from RRUFF; source IDs retained.
lab_duv_parent_spectra,119,Laboratory DUV spectra from analogue/commercial minerals.
meteorite_parent_spectra,4,Laboratory DUV spectra from Tissint/NWA 10153; exact spot-level sample assignment must be confirmed.
sherloc_external_spectra,31,Mars in-situ SHERLOC spectra; kept out of Earth-domain training for primary protocol.
excluded_halide_parent_spectra,17,Halide spectra excluded from review-ready supervised classification because pure halides are weak/non-Raman-active and require separate treatment.
review_ready_earth_train_parent,630,Parent spectra used for Earth-domain model training before augmentation.
review_ready_earth_validation_parent,134,Parent spectra used for validation before augmentation.
review_ready_earth_test_parent,133,Parent spectra used for final Earth-domain test before SHERLOC external evaluation.
review_ready_effective_train_after_augmentation,2600,Effective train set if every included class with train parents is augmented to the target count.
